gcf,species,geographic_origin,environment_type
GCF_003667845.1_ASM366784v1_genomic__,Virgibacillus chiguensis,Saudi Arabia,Mangrove
GCF_900129865.1_IMG-taxon_2675903063_annotated_assembly_genomic__,Virgibacillus chiguensis,China,Saltern
GCF_003399705.1_ASM339970v1_genomic__,Virgibacillus chiguensis,India,Saltern
GCF_013393565.1_ASM1339356v1_genomic__,Virgibacillus dokdonensis,South Korea,food
GCF_900166595.1_PRJEB19411_genomic__,Virgibacillus dokdonensis,Senegal,Host-associated
GCF_002849835.1_ASM284983v1_genomic__,Virgibacillus dokdonensis,Greece,Marine
GCF_036543105.1_ASM3654310v1_genomic__,Virgibacillus dokdonensis,Vietnam,food
GCF_003667805.1_ASM366780v1_genomic__,Virgibacillus halodenitrificans,Saudi Arabia,Mangrove
GCF_014656855.1_ASM1465685v1_genomic__,Virgibacillus halodenitrificans,"Russia
",Saline lake
GCF_009856265.1_ASM985626v1_genomic__,Virgibacillus halodenitrificans,Puerto Rico,Saltern
GCF_001878675.1_ASM187867v1_genomic__,Virgibacillus halodenitrificans,China,Constructed
GCF_001310895.1_ASM131089v1_genomic__,Virgibacillus halodenitrificans,France,Saltern
GCF_000294755.1_VH01_genomic__,Virgibacillus halodenitrificans,"South Korea
",Marine
GCF_900162105.1_PRJEB19297_genomic__,Virgibacillus halodenitrificans,Senegal,Host-associated
GCF_035812655.1_ASM3581265v1_genomic__,Virgibacillus halodenitrificans,NP,NP
GCF_030122745.1_ASM3012274v1_genomic__,Virgibacillus halodenitrificans,China,Soil
GCF_022810285.1_ASM2281028v1_genomic__,Virgibacillus halodenitrificans,China,Soil
GCF_021991675.1_ASM2199167v1_genomic__,Virgibacillus halodenitrificans,Thailand,food
GCF_021391295.1_ASM2139129v1_genomic__,Virgibacillus halodenitrificans,China,Soil
GCF_001895305.1_ASM189530v1_genomic__,Virgibacillus pantothenticus,Japan,Soil
GCF_001189575.1_ASM118957v1_genomic__,Virgibacillus pantothenticus,United Kingdom,Soil
GCF_900156795.1_IMG-taxon_2681813560_annotated_assembly_genomic__,Virgibacillus pantothenticus,United Kingdom,Soil
GCF_900162095.1_PRJEB19295_genomic__,Virgibacillus pantothenticus,Senegal,Host-associated
GCF_045369685.1_ASM4536968v1_genomic__,Virgibacillus pantothenticus,United States,Constructed
GCF_045369025.1_ASM4536902v1_genomic__,Virgibacillus pantothenticus,United States,Constructed
GCF_045368985.1_ASM4536898v1_genomic__,Virgibacillus pantothenticus,United States,Constructed
GCF_045368955.1_ASM4536895v1_genomic__,Virgibacillus pantothenticus,United States,Constructed
GCF_045368945.1_ASM4536894v1_genomic__,Virgibacillus pantothenticus,United States,Constructed
