BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_000294755.1_VH01_genomic-NZ_ALEF01000042.1.region001	NZ_ALEF01000042.1	NZ_ALEF01000042.1 Virgibacillus halodenitrificans 1806 contig53, whole genome shotgun sequence	hydrogen-cyanide	Others		
GCF_000294755.1_VH01_genomic-NZ_ALEF01000053.1.region001	NZ_ALEF01000053.1	NZ_ALEF01000053.1 Virgibacillus halodenitrificans 1806 contig64, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000294755.1_VH01_genomic-NZ_ALEF01000062.1.region001	NZ_ALEF01000062.1	NZ_ALEF01000062.1 Virgibacillus halodenitrificans 1806 contig73, whole genome shotgun sequence	terpene	Terpene		
GCF_000294755.1_VH01_genomic-NZ_ALEF01000064.1.region001	NZ_ALEF01000064.1	NZ_ALEF01000064.1 Virgibacillus halodenitrificans 1806 contig75, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000294755.1_VH01_genomic-NZ_ALEF01000077.1.region001	NZ_ALEF01000077.1	NZ_ALEF01000077.1 Virgibacillus halodenitrificans 1806 contig91, whole genome shotgun sequence	terpene	Terpene		
GCF_000294755.1_VH01_genomic-NZ_ALEF01000082.1.region001	NZ_ALEF01000082.1	NZ_ALEF01000082.1 Virgibacillus halodenitrificans 1806 contig96, whole genome shotgun sequence	ectoine	Others		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000001.1.region001	NZ_AUQA01000001.1	NZ_AUQA01000001.1 Virgibacillus sp. CM-4 Contig01, whole genome shotgun sequence	terpene	Terpene		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000002.1.region001	NZ_AUQA01000002.1	NZ_AUQA01000002.1 Virgibacillus sp. CM-4 Contig02, whole genome shotgun sequence	terpene	Terpene		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000002.1.region002	NZ_AUQA01000002.1	NZ_AUQA01000002.1 Virgibacillus sp. CM-4 Contig02, whole genome shotgun sequence	betalactone	Others		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000006.1.region001	NZ_AUQA01000006.1	NZ_AUQA01000006.1 Virgibacillus sp. CM-4 Contig06, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000006.1.region002	NZ_AUQA01000006.1	NZ_AUQA01000006.1 Virgibacillus sp. CM-4 Contig06, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000006.1.region003	NZ_AUQA01000006.1	NZ_AUQA01000006.1 Virgibacillus sp. CM-4 Contig06, whole genome shotgun sequence	ectoine	Others		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000006.1.region004	NZ_AUQA01000006.1	NZ_AUQA01000006.1 Virgibacillus sp. CM-4 Contig06, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000445495.1_Version_1_of_the_Virgibacillus_hongkongensis_CM-4_genome_genomic-NZ_AUQA01000008.1.region001	NZ_AUQA01000008.1	NZ_AUQA01000008.1 Virgibacillus sp. CM-4 Contig08, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_000709085.1_Virgibacillus_alimentarius_J18_genomic-NZ_JFBD01000004.1.region001	NZ_JFBD01000004.1	NZ_JFBD01000004.1 Virgibacillus alimentarius strain J18 KHU-J18_contig_4, whole genome shotgun sequence	lanthipeptide-class-ii	RiPPs		
GCF_000709085.1_Virgibacillus_alimentarius_J18_genomic-NZ_JFBD01000019.1.region001	NZ_JFBD01000019.1	NZ_JFBD01000019.1 Virgibacillus alimentarius strain J18 KHU-J18_contig_19, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000709085.1_Virgibacillus_alimentarius_J18_genomic-NZ_JFBD01000045.1.region001	NZ_JFBD01000045.1	NZ_JFBD01000045.1 Virgibacillus alimentarius strain J18 KHU-J18_contig_45, whole genome shotgun sequence	ectoine	Others		
GCF_000709085.1_Virgibacillus_alimentarius_J18_genomic-NZ_JFBD01000056.1.region001	NZ_JFBD01000056.1	NZ_JFBD01000056.1 Virgibacillus alimentarius strain J18 KHU-J18_contig_56, whole genome shotgun sequence	terpene	Terpene		
GCF_000709085.1_Virgibacillus_alimentarius_J18_genomic-NZ_JFBD01000095.1.region001	NZ_JFBD01000095.1	NZ_JFBD01000095.1 Virgibacillus alimentarius strain J18 KHU-J18_contig_95, whole genome shotgun sequence	LAP	RiPPs		
GCF_000709085.1_Virgibacillus_alimentarius_J18_genomic-NZ_JFBD01000102.1.region001	NZ_JFBD01000102.1	NZ_JFBD01000102.1 Virgibacillus alimentarius strain J18 KHU-J18_contig_102, whole genome shotgun sequence	betalactone	Others		
GCF_000709085.1_Virgibacillus_alimentarius_J18_genomic-NZ_JFBD01000128.1.region001	NZ_JFBD01000128.1	NZ_JFBD01000128.1 Virgibacillus alimentarius strain J18 KHU-J18_contig_128, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000001.1.region001	NZ_CCDP010000001.1	NZ_CCDP010000001.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	betalactone	Others		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000001.1.region002	NZ_CCDP010000001.1	NZ_CCDP010000001.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	terpene	Terpene		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000001.1.region003	NZ_CCDP010000001.1	NZ_CCDP010000001.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	NRP-metallophore.NRPS	Others		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000001.1.region004	NZ_CCDP010000001.1	NZ_CCDP010000001.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000002.1.region001	NZ_CCDP010000002.1	NZ_CCDP010000002.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	ectoine	Others		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000002.1.region002	NZ_CCDP010000002.1	NZ_CCDP010000002.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	T3PKS	PKSother		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000002.1.region003	NZ_CCDP010000002.1	NZ_CCDP010000002.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	terpene	Terpene		
GCF_000723585.1_PRJEB5515_assembly_1_genomic-NZ_CCDP010000003.1.region001	NZ_CCDP010000003.1	NZ_CCDP010000003.1 Virgibacillus massiliensis strain Vm-5, whole genome shotgun sequence	RiPP-like	RiPPs		
GCF_000725285.1_ASM72528v1_genomic-NZ_CP007161.1.region001	NZ_CP007161.1	NZ_CP007161.1 Virgibacillus sp. SK37 chromosome, complete genome	T3PKS	PKSother		
GCF_000725285.1_ASM72528v1_genomic-NZ_CP007161.1.region002	NZ_CP007161.1	NZ_CP007161.1 Virgibacillus sp. SK37 chromosome, complete genome	terpene	Terpene		
GCF_000725285.1_ASM72528v1_genomic-NZ_CP007161.1.region003	NZ_CP007161.1	NZ_CP007161.1 Virgibacillus sp. SK37 chromosome, complete genome	T3PKS	PKSother		
GCF_000725285.1_ASM72528v1_genomic-NZ_CP007161.1.region004	NZ_CP007161.1	NZ_CP007161.1 Virgibacillus sp. SK37 chromosome, complete genome	ectoine	Others		
GCF_001189575.1_ASM118957v1_genomic-NZ_LGTO01000007.1.region001	NZ_LGTO01000007.1	NZ_LGTO01000007.1 Virgibacillus pantothenticus strain DSM 26 super13, whole genome shotgun sequence	terpene	Terpene		
